"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status","US Tariff Status"
"CL21B225KPFNNNE","Samsung Electro-Mechanics","1276-1188-1-ND","","C1,C2","Cut Tape (CT)","Active","2","0.21000","AU$0.42","235036","Not Available","CAP CER 2.2UF 10V X7R 0805","RoHS Compliant","Lead free","REACH Unaffected","Tariff Eligible"
"CL21B104MBCNNNC","Samsung Electro-Mechanics","1276-2450-1-ND","","C3,C4,C5","Cut Tape (CT)","Active","3","0.15000","AU$0.45","952896","Not Available","CAP CER 0.1UF 50V X7R 0805","RoHS Compliant","Lead free","REACH Unaffected",""
"CL21B224KBFNNNG","Samsung Electro-Mechanics","1276-6478-1-ND","","C6","Cut Tape (CT)","Active","1","0.15000","AU$0.15","144430","Not Available","CAP CER 0.22UF 50V X7R 0805","RoHS Compliant","Lead free","REACH Unaffected","Tariff Eligible"
"SS34L RVG","Taiwan Semiconductor Corporation","SS34LRVGCT-ND","","D1","Cut Tape (CT)","Active","1","0.62000","AU$0.62","8209","14 Weeks","DIODE SCHOTTKY 40V 3A SUB SMA","RoHS Compliant","Lead free","Not Available","Tariff Eligible"
"150080VS75000","Wurth Electronics Inc.","732-4986-1-ND","","D4","Cut Tape (CT)","Active","1","0.26000","AU$0.26","66003","13 Weeks","LED GREEN CLEAR 0805 SMD","RoHS Compliant","Lead free","REACH Unaffected","Tariff Eligible"
"150080BS75000","Wurth Electronics Inc.","732-4982-1-ND","","D2","Cut Tape (CT)","Active","1","0.26000","AU$0.26","28862","13 Weeks","LED BLUE CLEAR 0805 SMD","RoHS Compliant","Lead free","REACH Unaffected","Tariff Eligible"
"0ZCG0075FF2C","Bel Fuse Inc.","507-1763-1-ND","","F1","Cut Tape (CT)","Active","1","0.19000","AU$0.19","349464","18 Weeks","PTC RESET FUSE 16V 750MA 1812","RoHS Compliant","Lead free","REACH Unaffected",""
"PH2-06-UA","Adam Tech","2057-PH2-06-UA-ND","","ISP1","Bag","Active","1","0.16000","AU$0.16","2904","6 Weeks","PIN HEADER 6P 2.54MM PITCH PLUG","RoHS Compliant","Lead free","Not Available",""
"S4B-PH-K-S(LF)(SN)","JST Sales America Inc.","455-1721-ND","","J2,J3","Bulk","Active","2","0.32000","AU$0.64","328980","16 Weeks","CONN HEADER R/A 4POS 2MM","RoHS Compliant","Lead free","Not Available",""
"S2B-PH-K-S(LF)(SN)","JST Sales America Inc.","455-1719-ND","","J1","Bulk","Active","1","0.25000","AU$0.25","147801","20 Weeks","CONN HEADER R/A 2POS 2MM","RoHS Compliant","Lead free","Not Available",""
